,리뷰
5473,Bhc 처음 시켜서 먹어봣눈데 배달만 한시간 넘어 기다린거 같네요~배달은 주문 밀리면 그렇다고 해도 전화받는분이 너무 불친절해서 기분이 너무 나빴어요 치킨맛은 괜찮았지만 다시는 시켜먹지 않을거 같네요 내돈쓰고 먹는건데 기다리는거 떠나서 기분 나쁘게 먹는건 아닌거 같아요
5481,자주시키는데...오늘은 닭이 타서왓어요...너무 튀겨서그런가 너무딱딱해서 뻑뻑살 부분은 씹을수가 업어서 다 버렷어요.....환불신청하려다...그냥 두었네요.....양념도 너무 짯고..원래 자주먹는데 아쉬웠네요..다음날 설사 6번 했습니다...뭔가 대책이 필요해보이네요..
5488,소스많이 달라고 적었더니 소스가 어찌 더 조금 뭍어있고 진심 너무 조금 붙어있어서 민망할정도.. 무슨 이유가 있겠지 라고 넘어가는데 크리스마스 분위기 핵따운 됫네요 우선 젓가락도 안주는곳은 첨봤네여
5500,맛은 진짜 좋은데 75분 정도 걸리는게 ㅜㅜ 배가 너무 고파 ㅜㅜ 그래도 추운 날에 배달해주는 기사님한테 감사하네요ㅜㅜ
5521,휴일이라 배달이밀려서 그렇다고해도 매번주문할때마다 1시간을 기다려야하다니요.기다리다지쳐서 전화하면 매번 포장하고있다고하고 배달이 정말느려요. 그나마 맛은괜찬은데 양념이너무 적게 있고 식었어요.너무하네요.
5524,배달이 좀 많이 느리네요.... 다른건 괜찮아요~~
5526,배달이너무 오래걸렸어요 근데 그것보다 소스가 부족해서 덜발라져 있어서 군데군데 하얗더라고요 소스만 충분했으면 좋았을것같습니다
5534,룸메랑 치킨 먹고 둘 다 배탈 났네요
5564,급하셨나봐요....
5566,맛잇은데배달한두시간걸림
5568,치킨이 너무 타서 딱딱해요
5579,너무식어서왔어요 ㅠㅠㅠㅠㅠㅠㅠ
5580,배달시간은 5분 정도 늦었네요. 그럴수 있죠 그런데 ㅋㅋ 닭이 왜이리 차갑죠???.. 식어서 그런가 맛이 없네요
5581,맛있게 잘먹었어요~
5583,한시간 가량 소요된다는 안내를 받았기에 기다리는 시간은 문제가 되지 않았습니다만 한시간 기다리고 배달온 갈비레오는 거짓 하나 안보테고 차갑지만 않을뿐 온기 조차 거의 느껴지지 않을정도로 식어서 왔습니다 아이들 먹이는데 전자레인지에 1분30초 대워서 먹입니다 조리과정 순서를 기다리는건 당연하다고 하더라도 몇개씩 들고나와 배달하는동안 식어버린 치킨은 정말 기분 나쁘네요
5587,75분내 배달 예정이라고 했는데 60분만에 배달이 왔어요 생각보다는 일찍 왔네 했는데 치킨이 다 식어있었네요 차가운 정도는 아니였지만 미지근? 절대 따끈따끈이라고는 말 못할 정도였어요 맛은 있는데 다시는 안시켜먹을 것 같아요 전화해서 따지려다가 너무 배고파서 그냥 먹었네요
5588,이 메뉴가 원래 양이 적나봐요ㅠㅠ 생각보다 적어서 놀랬네요ㅠㅠ 그리구 배달이 예상시간보다는 빨리 왔는데 다 식어서 아쉬웠어요ㅠㅠ 원래 시즈닝이랑 많이 줘서 매번 만족했는데
5593,주문한지 두시간만에 오고 다 식은 치킨 보내주고 사장은 전화햇더니 바쁘다고 끊고 콜센터는 통화 안되고 처음 써봣는데 최악이네요 다신 여기서 안먹고 어플 활용도 할 생각이 없네요 배달해주시는 분이 치킨 뜨거우면 못먹어요 라고 하고 가시는데 진짜 어의 없네요
5595,최악중의최악이네요 원래리뷰도잘안남기고 남겨도 좋았을때만 남겨봤는데 이런적는처음이네요 사진으로 보시다시피 양이 정말너무너무너무적어요 (다른지점것도 먹어보고하는말입니다)심지어 그중 한조각은 살점이뜯어지고 뼈가앙상한게 한조각있었고요 배달받았을때 치킨전부가 차가웠습니다 오죽했으면 먹다가 전자렌지에 돌려먹었습니다 배달도 1시간반걸렸구요 원래다른지점에서먹는데 문닫혀있어서 처음으로 시켜봤는데 다신안시킬것같네요 평점은좋던데 요기요2천원할인일때 주문해서그런건지 배달밀렸을때라그런건지모르겠지만 최악입니다. 맛은갈비레오 맛이니 당연먹을만하고요
5596,처음 시킨맛이라 걱정했는데 맛은 좋은데 양이 너무적어요....
5598,갈비레오 맛있다구 해서 시켜봤어요~ 안동찜닭의 약간 심심한 맛이에요~ 밥이랑 먹기 좋앗어요~ 맛은 있엇는데 양이 좀 적엇네요ㅜㅠ
5599,음 양이작네네네네네네
5602,양이 적어보여서 조금 실망했는데 먹다보니 그렇게 부족하진 않았습니다. 맛있습니다. 다만 부분부분이 엄청 타서 왔더군요. 한 입 먹었는데 이렇게 껍질이 타있는 정도인 줄은...
5604,65분 걸렸습니다. 맛은 좋았으나 양은 적은 듯 하네요.
5615,좀 느끼햇오요 ㅠ 배달도 한시간 넘게걸리고...
5664,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ
5695,머리카락 있어요... 전화도 안 받아요 ㅠ ㅠ
5696,맛있었어욤! 근데 배달 예상시감보다 30분정도 늦게왔어요 ㅠ
5713,안익은치킨이옴....버림요..
5730,존맛ㄷ대이애애애어 치즈볼은 집에 60박스쟁여놓고먹고싶어요
5756,제 입맛엔 안맞아요
5757,맛있었당 근데 배달이 조금 늦어서 아쉬웠지만 그래도 맛과 양은 좋았다
5788,앞으론 다른 메뉴 시켜 먹을래요...
5807,맛 쵸킹.. 헐 너무짜요..
5841,9시 45분에 11시까지 배달 부탁한다고 했는데 11시 20분에 배달이 왔어요.. 다음날 새벽 일찍 일어나야해서 일부로 예약주문한거였는데 이럴거면 10시에 한시간 텀두고 주문할걸 그랬네요; 맛은 있네여 진짜 개맛있었습니다 추운 날씨 때문인지 치킨은 미지근했어요 근데 맛있더군요.ㅂㄷㅂㄷ
5857,치킨 잘못 가져다주시고 양념 반 후라이드 반 시켰는데 무슨 양념이 묻은곳도 있고 덜 묻은것도 있고...다시는 안 먹습니다~
5860,맛있어요ㅋㅋㅋ휴....
5866,1시간10분걸렷네요.
5883,보통은 예상소요시간보다 빨리 오는데 오늘은 너무 늦었어요. 1시간 20분만에 받았어요. 그리고 날이 추워서 항상 식기는 하는데 오늘은 정말 온기가 없이 와서 렌지 돌렸습니다. 맛은 다른날보다 맛있었어요. 보통은 좀 짠편이었는데 오늘은 간이 잘 맞았습니다.
5899,90분을 기다려서 먹은건 거의 다식어서 온 치킨이었네요. 만든지 시간이지나서 습기랑 소스가 치킨에 다먹고. 그만큼 소스 맛도 그다지 안느껴지고 완제품 마트에서 파는 치킨 같았습니다. 배달하시는분은 한손으로 아무말없이 슥내밀고 가시네요. 그냥 전체적으로 맘이 안좋네요
5903,맛있게 잘 먹었는데 양념치킨 양념이 원래 이렇게 발라져서 오는건가요;
5931,배달 거의한시간반만에오고 아무런말없이그냥배달딱주고가버림
5942,닭이 정말 실망이였습니다 이런글 쓰는성격 아니다만 ....좀심했습니다
5950,종합적으로 최악임 1 배달시간 약 100분 소요 2 전화했는데 주소 확인도 안하고 바로 출발했다 함 그리고 15분쯤 뒤 다시 전화해서 주소 제대로 확인하고 출발했다고 하는거냐니깐 그제서야 주소 물어보고는 3분전에 출발했다고 함. 소비자 기만급으로 그냥 대충 대답하고 치우는 태도 3 늦게온 배달원도 그냥 치킨만 척하고 다급하게 전해주고 다급하게 떠남 4 치킨은 식어서 다 먹을때쯤 거의 차가웠음  튀김색깔 보시다시피 갈색 튀긴거 다시 튀긴건가 싶고  반죽도 고르지 않았고  시즈닝가루도 떡지고 엉망 :본사신고 후 영업정지 각
5955,너무 차가워요 식은 치킨인줄
5959,튀김이 별로였어요 다른건 굳
5964,배달도 늦었는데...치킨도 맛이 없어서 놀랬어요...ㅠㅠ 튀김옷이 분식집 튀김옷처럼 눅눅해서 튀김옷 벗겨서 먹다가 남겼네요
5985,정말 너무 하네요 소스가 묻어 있지도 않고 다식어서 왔어요 ㅠㅠ 그리고 너무 맛도없어요 다른지점은 안그런데 ?
5990,첫주문인데 배달이 1시간40분이나 걸렸네요 졸려서 잘생각하고 있는데 왔어요 늦어서인지 치킨은 좀 식어있었구요 양념은 많이 묻어있고 맛은 있네요 배달이 이렇게 까지 오래걸리는 이유는 뭘까요 ㅠ 아무튼 늦었지만 맛있게 먹을게요
5998,맛은 있는데 양은적고 배달하는 사람은 일하기 싫어보이네요 기본적인 인사도없고 던져주듯이 주고가네요ㅡㅡ 다시는 시켜먹을일 없을듯
5999,신매뉴라 먹어봤는데 솔직히 다음엔 마초킹 먹을꺼임 날가두없고다리4개에 다른부위 4개 ㅜㅜ 신메뉴도전 실패
6002,갈비레오 첨 먹어봤는데 진짜 맛있어요! 다만 조금 식어서 배달온게 흠이었네요
6004,간장골드 시켯는데 후라이드온줄.. 양념도 거의 안묻어있고 정말 별로엿어요
6012,면이 많이 불어서왔고 탕수육이 바삭하지않아요
6021,이게 짬뽕인지 볶음면인지... 모르겠어요. 그릇이 작았는지 뭔지 몰라도. 이 어플 저 어플에서 여기만 시켜먹었는데... 이번엔 좀 실망이에요. 그릇이 작아서 국물 모자랐으면 따로 주셨어야 한 거 아닌가요...? 별을 드릴수가 없네요. 이만한 곳이 없었는데 다음엔 신경써주세요. 제발!!!!
6023,ㄹㅇ 딴건다좋은데 짬뽕면이 살짝 떡이네요
6032,배달시간은 45분걸린다고했는데 1시간조금넘어서 왔고 배달원은 집도못찾아와서 직접나가서 집까지안내드렸고 제일 황당한건 제육덮밥먹고있었는데 플라스틱비닐같은것도 나왔네요.... 음식검사도철저히하지않을거면그냥.. 하 말도않나온다.. ?? 정말비추입니다ㅉ
6033,별로에요.... 탕수육을 남은 튀기만 준거같고..볶음밥 진짜 맛없음요
6037,그때그때맛이 너무달라요 오늘탕수육은 너무딱딱함 지난번은 딱바삭해서 좋앗는데ㅜ 짬뽕국물서비스는 좋아요♡
6040,맛은있는데 양이너무적움...
6043,양이 참작네요 실망
6051,곱배기인데 곱배기인지 몰라써요.. 막은 그럭저럭 괜찮은데 면은 다 불어서 오고 탕수육은 고기없이 튀김만 잔뜩오고.. 그랬어요...^^;
6074,배달빨랏구 맛도 좋앗구~담에또 시켜먹으께요
6079,단골집인데 배달항상 빠르고 간짜장 항상먹는데 오늘은 짜장소스도 부족하고 싱거워요...
6100,다불어서 옴 맛도별루 두번 시켜먹진 안을듯
6108,맛잇기는 한데 짬뽕에 넘 양파만 만쿠...다른 내용물이 넘 적엇어여 ㅡㅡ
6110,짬뽕 빼곤 다남겼어요...ㅜㅜ
6113,맛있게 잘 먹었습니다.
6125,자주 시켜먹긴 하지만 먹을때마다 뭔가 좀 지저분한 느낌이 들긴해요ㅜㅜ그래도 24시간 하는 중국집중엔 그나마 낫네요
6129,군만두는 오래된 것 같고 맛이 별로 입니다.
6130,하 진짜 짜장면상태가 무슨 ㅋㅋㅋㅋ 배고픈사람도 입맛떨어질정도로 최악 양념도 얼마 없고 면은 퍽퍽하고
6140,짜장면이다떡이되서왔다고합니다 좀더신경쓰셔서배달부탁드립니다
6149,배달 한시간반.. 중국집배달 시간 이런곳은 첨이네요
6157,혹시나해서 한번더 시켰는데 역시나 한시간째 안오는중..
6164,위치가 바뀌었으면 재등록을 하셔야지요
6166,배달은 빠르네요 ㅎㅎ
6173,변함 없는 양파왕.
6174,매일 맛이 달라요;;; 저번에 간짜장 맛잇게먹엇엇는데 요번에는 일회용 에 배달와서 당황햇구요 간짜장도 맛도없엇습니다...
6180,짬뽕국물을 문앞에 다쏟고 그냥가시면어떡해요...ㅡ ㅡ
6186,면이 너무불었어요 ㅜㅜ
6188,탕수육 별루.. 자장면 별루.. 자장밥 별루...
6201,흠...... 반반짬뽕을 시켯는데 짜장이와부렀네요....
6205,당면 생걸로 오고 육개장 미지근하고 밥은 무슨 중국산 찜밥 수입했나 퍽퍽하고. 별을 줘야하는건지.
6210,갑짜기출출할때이용하는집..잡채밥은첨시켜봤는데.은근맛나네요.잘먹었어요
6212,짬뽕국물줄때 엎어주면 어떡하냐 다쏟았네
6218,일회용 그릇 정리할 방법이 없어서 곤란했어요
6219,짜장면은 불어서 한덩어리로 왔구요 볶음밥은 소스는 원래없나봐요 밥만볶아서 오네요 탕수육 유산슬은 그냥 보통이네요 메뉴에는 꽃빵이라고있는데 배달은 안해주네요 낚시인지 오타인지 모르겠네요
6222,양장피는 다 뭉쳐있고 우동면은 다 끊기고...
6228,왕만두 양이 너무 적었습니다.. 5500원이 아깝더라구요 볶음밥도 그냥 짜장밥이고.. 탕수육 양도 적고.. 여러모로 아쉬웠습니다.
6259,맛이 가끔 다르네요..이번에는 아쉬운맛이..식사 2그릇 시켰는데 쿠폰도 또 빠져오고..단골이었는데 솔직한 리뷰로 이젠 점점 별루인거같습니다.
6268,배달해주신 분 정말 친절하시고 음식맛도 괜찮았어요. 양장피와 쟁반짜장 시켰는데 아쉽게도 쟁반짜장은 좀 불었어요. 다음엔 간짜장 시켜 먹어야 할듯요.
6279,해물볶음짬뽕이라면서 해물은 꼴랑 오징어몇조각이 끝입니까? 그걸 이가격으로 받아처먹냐 양심좀;; 이가격으로 받아처먹으면서 그냥짬뽕만도 못한 퀄리티 실화? 그리고 주문하고 분명 배달소요시간 문자까지 받앗는데 안찍혓다하고 1시간 반이상이나 걸리게만들고 대단들하셔요 이래서 고급중식점 아닌이상 걸러야된다고 친구가 그러던데 뼈저리게 다시한번 느끼게 해주시네요
6280,그냥 그래요 그냥 그렇습니다
6286,업소가 우리집과 멀어서 그런건지 주문 폭주라 그런건지 평일 저녁 7시 주문에 배달 소요 시간이 50분이나 걸린다는 안내도 놀랍고 배달된 음식들은 면이 너무 불어 왔음. 배고파서 다 먹긴했으나 이건 아님.
6288,탕수육 부먹도아닌데 올때부터 엄청 눅눅 짜장보통 볶음밥은 짜장이오래됐는지 신맛남..양은많음
6290,ㅜㅜ또 그냥 쟁반짜장이... 맛은있어요!!
6294,네 배달시간 기본으로 어기고~ 내가 먹어본 짜장면중에 진짜 최악이고 ~ 다 식어오고~ 한번 만드시는분이 드셔 보셨으면 좋겠네ㅋㅋ
6296,왕만두가 밀가루녹아서 못맛이여
6299,오늘이후로여긴아웃 장사하는사람이 잔돈준비하는거당연한거아닌가요? 2만몇천원 되는걸시키면 5만원짜리 준다생각하고 잔돈준비하는게 당연한게 아닌가? 어이가읍네. . . 안시켜먹음 그만인걸 번창하세요
6302,항상 전화주문하다가 너무시간이늦어서 제발 문 두들기지 말아달라 메세지남기느랴 일부로 요기요에서 주문한건데 ㅠㅠ 문두들기시고 전화하시고 ㅠㅠ 강아지가 짖고 두들기시고 하셔서 다 깻네요 ㅠㅠ 늘 맛있게 잘 먹고있습니다만 제발 배송 베세지좀.. 새벽엔 문을 두들겨주시며누안되요ㅜㅠㅠ
6305,아니뭔 배달예정시간ㅋㅋㅋ 어이탈탈 자주시켜먹던데 오늘 휴무라 여기시켯는데 너무차이난다 시켜먹던데는 5분이면 오는데 여긴 지금 1시간 10분이 지낫는데도 안오시고잇네 괜히 모험햇다 에휴
6311,두번째주문인데 처음엔 맛있었는데 이번에는 짬뽕이 다뿔어서왔어요ㅠㅠ
6325,맛이나 양은 자주 시켜먹어서 괜찮습니다 근데 배달이 너무 늦어요. 35분 걸린다고 문자보내시고는 1시간 걸렸어요. 두번이나.
6326,쿠너너어ㅓ어아라랄라
6328,면이 다 불어터짐ㅠㅠ
6334,이번에는 좀 별로였으요
6353,짜장 볶음밥맛있는대 물만두 한개먹고버렷네요 먹자마자 밀가루맛이... 물만두는 다신안먹는걸로
6364,양은 많습니다. 배달도 보통입니다. 그러나 맛은 장담 못합니다. 라면을 드십시오.
6367,짬뽕이가면갈수록 극혐이에요
6382,배달 개늦게옴 .. 35분이라 했으먼서 12시넘어도 안옴 ...
6383,난자완스정말좋아하는데 여기난자완스진짜성의없음 일단고기다진거부터제대로안다지고 양념은왤케작게하는건지 제대로좀잘볶든지아진짜먹다가버림
6384,많이 아쉬운맛 다 불어서 왔습니다.ㅠㅠ
6389,면발 두께 실화인가요 ..? 20분만에 와서 넘좋앗는데 소스는 맛잇엇는데 면발이 넘나 팅팅 불어터졋슴 김볶밥은 레알 김치만 볶았음 고기는 없네오???! 양과 배달시간만 별5개입니다 너무배고파서 아무거나먹고싶을때 시키는것 추천
6392,다좋은데 맛이.. 제육은 고추장맛만 나고 삼선짬뽕밥맵게해달라햇는데 안매운건 둘째치고 끓이다말고온것같네요 차라리 5분늦게오고 맛있게 오면 좋겠습니다.
6395,뭐 처음에 생길때는 남사장님 인상좋으셔서 시켜먹어야지했는데 맛도 친절도 갈수록 개판임 웬만하면 글안남기는데 세번째 시켜먹다가 못참아서 남김 차라리 라면끓여먹고 말지 좀 잘하세요
6403,갈수록 맛이 떨어지는듯합니다 배고팠는데도 맛이없어 다남기게되네영 ㅜㅜ
6444,평소에 진짜 자주 시켜먹는데 오늘 배달도 늦고 음식도 제대로 안주시고 진짜 최악이예요
6446,맛과 양이 좋네요 배달시간은 1시간 10분
6448,음식은 다 식어 빠져서 짬뽕국물 두개달라는것도 하나줬으면 면 뿔지않게 재대로 배달이나하던가... 받자마자 진짜 기분 상하게하네요 여기 최악
6453,물만두 우선 맛이 없습니다 배달원 분께서 화난 말투로 먹고 일층에 그릇 놓아달라고 그러더군요 (저희집 4층)직원교육 똑바로 시키세요
6459,배달이 좀 느리네요
6465,많이 바쁘신거 이해해요^^ 만두에 눈썹들어있고 탕수육눅눅하고 면다뿔고 배달시간 거의30분지연에 이해합니다 바쁘실수있으니까요 ㅎㅎ
6466,음식제대로배달도안와 더 기다리고 죄송하단말도안하셨네요.
6467,배달은 빠른 편인데 간짜장은 너무 뻑뻑하고 볶음짬뽕은 불어서 왔어요. 이전엔 맛있었는데 주방장이 바뀐건지 모르겠지만 이번엔 먹기 거북할 정도로 형편없었어요.
6469,최악의 탕수육 ..........
6471,탕수육 맛이 이상하네요
6472,바쁘다고 일회용기에배달하고 면도 다 불고 실망입니다. 별하나는해야한다는데 마이너스는 없나봅니다.
6474,볶음밥의 자장이 너무 셨어요.....
6482,배달 1시간에 면 불어서옴
6493,솔직히짬뽕국물은맛있는데 배달은1시간20분이상 면은퉁퉁불고탕수육정말딱딱했어요 국물생각하면재주문하고싶지만그외것들이 정말비추에요
6498,자장면에조미료를들이부었음 탕수육은거의타다시피해서옴 다신안시키고싶음
6499,맛은 그냥 그런듯...
6500,후기를 보니 다들 맛있다고 해서 주문해봤는데 탕수육이 심각하게 맛없음 딱딱하고 소스도 그저그럼 짜장 짬뽕맛도 보통임 도대체 뭐가 맛있다는건지ㅜㅜ 배달은 칼같이 옴
6501,전화받으시는여자분도 친절함이란 찾아볼수없고 맛이라도 있던가 시킨지20분도안되서 배달은와놓고 짜장면은 무슨1시간 숙성시키고 가져온지알앗네요 돈주고먹으면서 짜장면을먹고잇는건지 떡을먹고잇는건지 입맛다 떨어져서 남겻네요 배달은빨리와서 좋네요
6502,아니 탕수육도 안에 고기가 익엇는지 안익엇는지 확인도 안하고 갖다주시네요 씹자마자 질겨서 봣더니 하....너무하네요
6504,국물이괜찮아서 재주문했는데 다시먹으니정말별루네요 두번모두탕수육딱딱했어요
6508,배달이 정말 늦어요... 그것 말고는 맛있고 괜찮았어요! 다만 탕수육은 미리튀겨놓은건지 차갑고 눅눅..소스도그닥... 짜장짬뽕은 맛있네요
6512,음... 짬뽕에.. 오징어랑 홍합 이 하나도 없고..양파랑 호박 당근만 가득하네요.. 하하하하하하 원래 그런건지 하하하
6526,배달이...느려요ㅜㅜ
6528,양이 좀 적네요. 맛은 보통입니다. 배달은 굉장히 빨랐어요.
6531,짬봉밥에 숟가락 너무하지않나요 통화로 밥이라고 대화까지 하시구 요플레 숟가락은 너무하지않나요? 아무리.바빠도 고객한테 양해를 구하시면 안되죠
6536,별로~~~~~~~~
6540,배달이 헬이네요
6549,자장면에서 소주냄새가 나요.
6552,짜장면이 너무 짜고 면도 다 불어서 뚝뚝 끊겼음.
6559,아니 ㅋㅋㅋㅋ 탕수육도 적고 짜장면은 완전 불어가지고 맛도 없고 비벼지지도 않고 퍽척하기만 하고 소스에서는 이상한 사과향도 너무 심하고 진짜 할말이 너무 많네요. 배달이라도 빨리해주든가 너무 심한것 같아요.
6563,요리왕 평상시 칼배송이어서 시켜먹는 편인데 오늘은 탕수육도 죄다 밀가루만 있고 짜장 먹자마자 너무 짰어요. 평상 시 요리왕만 시켜먹는데 ㅠㅠ
6569,탕수육 짜장면 새트시켰는데.. 너무 딱딱해서 몇개도 채 못먹구 아쉽게 고대로 돌려보냈네요 ㅠㅠ 나름.. 중식은 ..시켜먹으면 여기서만 먹는데 이건 너~ 무 실망스럽네요!!
6576,이전에도 몇번 시켜서 또 주문했는데 일반용기랑 일회용기랑 양 차이가 너무 많이남.. 매장에 전화했더니 같은양이라곤 하나 이젠 두번다신 안시켜먹을듯
6578,배달은 빠르지만 맛이나 양도 적고 탕수육소스는 너무 달기만하고 그릇은 뒷부분에 기름이 쩔어붙어있더군요;;; 배달말고는 봐줄게 없네요
6580,짜장면은 약간 불었어요... 탕수육은 고기가 질겨요
6590,배달이 10분만에 와서 빨리온건 좋은데 왜이렇게 빨리왔지? 하고 먹었는데 짬짜면이 다 불어서 뚝뚝 끊어지고 그래도 맛은 그냥 평범한 맛인데 탕수육은 진짜 못먹겠네요 돼지냄세나고 튀김도 고무씹는 맛에 특히 소스가 진짜 너무 맛이 없어요 후르츠 과일 통조림 소스에 그냥 찍어먹는맛 소스에 신경을 조금 더 써주세요 마지막으로 일회용 용기를 주셨는데 일회용 으로 주셨으면 저희가 먹고 치울때 일회용 용기를 같이 버릴 비닐봉지도 같이 주시는 배려좀 주셨으면 좋겠어요
6591,면이 너무 떡져있었고 만두도 기름이 너무 많은게 아쉽네요
6595,“한 번 먹고 말겠지..” #왜 이런지는 #자기들도 알거야
6597,여기 첨에 먹고 괜찮아서 한번씩 시켜먹었는데 탕수육이 너무 딱딱해서 턱아파서 반도 더 남기고 볶음밥 소스도 심하게 부족해서 하얀밥 먹었네요 그때만 그랬던건지 넘 짜증났음 시켜서 거진 다 남기고 돈아깝네여 양도 서비스도 가격도 중요하지만 맛이 젤 중요하죠
6611,배달도 빠르고 양도 푸짐하네요 탕수육은 고기는 바삭하고 맛있었어요 ~ 근데 소스가 제 입맛에는 너무 신듯 ㅎㅎ 조금 덜 셨으면.. 짬뽕은 면도 안불고 푸짐했는데 좀 맵내요 매운거 잘 못드시는 분들은 참고하세요~ 국물은 처음 국물만 한수저 떳을 때는 맛있었는데 끝내 매워서 남김
6612,탕수육에서 고기 냄새났어여
6619,맛있었습니다.ㅎㅎ
6620,음....분명 삼선짬뽕으로 바꿨는데 요구사항에 전혀 안들어가있고 짬뽕은 ..그냥..케첩은 탕수육소스에 너무 많이 들어가있고.. 처음 시켜봤는데 별로예요...
6622,시간은 미리 공지되서 괜찮았도 맛더 그럭저럭 괜찮았는데 짬뽕 탕수육 셋트메뉴인데 짬뽀은 괞찮았지만 탕수육양이 나무 적은것같았음..
6625,중국집배달이 1시간20분걸리다니‥‥ 음식은 또 다식어서 도착하고‥ 참고들하세요
6627,탕수육.짜장면 시켰는데 10분만에 오는게 말이되나요.. 짜장면에 물도많이 차있고.. 만들어논게 왔다고 이해할수밖에..
6628,맛없음 탕수육 피안빼고 만든듯 비림 설익은듯한 짜장두 별루 탕수육 맛없어 남겻지만 양도 적음 14000 1인세트 근처인줄알고 시켯는데 배달하는분만 고생시킴
6630,자장며너무 별로에요 면이 너무 팅팅불었어요
6644,중 사이즈 약 진짜 작고요 맛은 있으나 양은 진짜 적음 전화해서 물어보니 정량이라 하는데 양 적어요 양은 기대하지마요
6654,꾸준한 고객을 확보하기 위해서는 품질의 항상성이 중요하다고 생각합니다. 그런 점에서 실망스럽습니다. 삼성 휴대폰을 믿고 사는 이유 유명 브랜드가 의미가 있는 이유가 다 같습니다. 배달식당이 그렇게 안할 이유가 없고 또 그렇게 할 수 있습니다. 오늘 배달온 음식은 마치 '이것이 마지막이다'라고 하는 것 같았습니다.
6663,그럭저럭 갠차는편.. 양은좀적은듯.
6676,점점점 할말이없음
6681,보족셋트시켯는대 김치양 무채양 어이없이적음 가격에비해좀실망함
6697,다음에 다른 음식점에 주운하고 싶은 생각
6714,엄청 자주 시켜먹는데 오늘은 그중에 최악이네요 가격도 올랐던데 양이 그전에비해 너무너무 적어요 무김치도 바뀌고 실망이네요
6725,포장상태 깔끔 족발.. 불족발... 막국수... 맛은 있지만 가격대비 양이 너무 작아 아쉽네요... 신랑이 다음에 대자 먹어보고 쭉 갈지 말지 생각하자니... 맛은 있는거랍니다... ㅋ 소자 같은 중이라 상당히 아쉬웠네요...
6761,토요일 주말이라 55분 뜨길래 그래도 설마 했는데 역시나 1시간 걸리네요 같은동네 족발 30분만에 오는거랑은 차이나네요ㆍ먼저번 족발집도 유명하고 매니아도 많은데 불족발 먹어보고 싶어서 여기에 반반시켰는데ㆍㆍ결과는 맛있네요?다른분 리뷰처럼 야채가 적어 모자라구요ㆍㆍ막국수도 맛있어요 배달만 더 신경써주시면 다시 주문할게요
6762,배달어플주문주소 능동인데 지가 군자동 와놓고 왜 군자동아니냐고 짜증부터 내는 배달원ㅋㅋㅋ 아주 대놓고 내잘못 아니라고 남탓하는배달원 한 3번 시켜먹었는데 못찾아오는거보니 배달대행업체인듯
6778,족발은 맛있어요. 근데 막국수가...너무 달아요. 세 젓가락 이상은 못 먹어요 진짜.
6780,진자 맛없어요 다시주문 할수가 없어요
6792,갸맛있음마늘족발이개꿀
6811,주문 요청 내용 무시 고기에서 냄새 남
6820,가격도좋고 포장도좋고 배달도좋고
6823,매족은 정말 기똥차게 맛있는데 족발은 맛이없네요ㅠㅠ
6838,처음시켜봤는데 연말에 바쁠때시켜서 그런가 제 입에는 별로였습니다
6842,다별로예요 맛도 양도 배달도
6880,족발맛도 좋고 배달도 정해진 시간에 오고 다 좋은데 양이 좀 적네요.
6935,생각보다 빠른 배달..고기는 마지막 배달이여서 인지 약간 질김..다른곳보다 김치양 적음..
6953,너무 적게 오고 김치는;;; 보삼 김치도 아니고 다시는 안시켜 먹을꺼같아요
6965,여기서 보쌈 먹고 저랑 제 애인 장염 걸렸습니다
6976,고기는 군내안나고 정말맛있는데요.. 진짜 김치가 너무맛없네요.. 김치랑같이먹어야 보쌈인디ㅡㅡ 김치가 와.. 38년인생최고맛없는 김치ㅜ김치만 맛있게하신다면 고기가맛나서 잘되실듯요...
6984,도야에서 밖에 안시켜먹어요~ 항상 맛있어요!!
7006,결론부터 말하면 다시는 안시킬것 같네요.그동안 꽤 꾸준히 시켜먹었고 나름 만족했었는데 점점 고기 잡내가 느껴지더니 오늘은 도저히 못 먹을 수준으로 왔네요.보쌈은 누린내가 심해 거의 못먹고 버렸고 족발도 몇점 먹다보니 비계부분에서 누린내가 심해서 버렸습니다. 배달원이 문 두드리는 것부터 기분나빴는데 포장상태도 엉망이고 야채 신선도도 떨어지네요.무엇보다 고기상태가 최악인게 제일 실망이고요.개인적으로 맛집은 뛰어난 맛보단 한결같은 맛을 내는 집이라고 생각합니다.오래 장사하시려면 앞서말한 점 유념하셨으면 하네요. 단골이었는데 아쉽네요.
7020,배달이 너무 늦어요
7050,족발은 맛있었는데 막국수가 면이붙어 한덩이네요. 가위로 잘라도 안풀어지고 덩어리져 있습니다.
7068,ㅠㅠ 도야족발 엄청 좋아하눈데.. 멀리사는 친구 데리고가서 매장가서도 몇 번 먹었는데..오늘 오랜만에 시켜먹었는데 오늘따라 맵기만하고 맛이....... 밥도 너무 굳어왔고..막국수.. 리뷰로 서비스 받았는데 ㅠㅠ 면이 ... 안 익어서 .. 면 삶는거 셀프로 바뀐거 아니죠....? 막국수 못먹었어요..............
