,리뷰
863,진짜 배달이문젠지 포장이문젠지 피자쏠려오는건 첨봄 토핑이 쏠린상태로 모양잡혀서 포장박스에붙어있고 먹을때 피자들면 토핑만빠져서 피자도우만 들리고... 숟가락으로 퍼서 피자에올려먹는데 존맛.. 배가고파서그런지는몰라도 욕하다 입닫고다먹음.. 아빠두조각드시고 제가남은거다먹었는데 피자양이적은건가요 제가많이먹는건가요 평균인가 모르겠넹 담에 이쁘게만해서보내주세요 온전한상태로먹었으면 개존맛이었을듯
873,ㅂㅔ이컨체다치즈를 시켯는데.. 콤비가와서ㅠㅠㅠㅠ 그래도 맛있었습니당ㅠ
889,피자샵 두번째인데 크기와 양은 훌륭합니다 단 배달이 1시간 걸렸어요! 맛있게 먹어서 나름 만족!
916,안타까운 마음에 글을 남깁니다. 저는 대략 일년반?정도 마스터피자를 먹던 손님입니다. 많으면 한달에 5번에서 적으면 2번정도 먹었는데 처음 너무 저렴한가격에 너무 맛있어서 놀랬습니다. 주변 지인들에게 다 추천하고 다닐 정도였습니다. 최근 3번동안 마스터피자 주방장이 바뀌었나 싶을 정도입니다. 치즈의 양은 눈에띄게 적어지고 안쪽에 토마토소스가 너무 많아 흘러내릴정도인데 포테이토 피자가 토마토피자같은 느낌입니다 3번 참고 오늘 마지막으로 딱 먹고 실망스러워 리뷰남깁니다. 제발 처음으로 돌아오시길...안타깝습니다
923,파마산 핫소스 하나도 안줘놓고 직원이 바쁘다고 그냥 먹으라고 하심 당황스럽군 저번부터 말 했는데 이젠 안시키는걸로
931,엄청맛있진않고 식으면 치즈가 좀 딱딱해져요
933,금액이 싼만큼 이유가 있더라구요 ㅠㅠ
946,엄청. 맛있어요......
984,흑...라지가 양이 이렇게 적었나요ㅠㅠ 두번 나눠 먹으렸는데 혼자 한판을 한끼에 다먹었네요.. 다른집 미디움이랑 크기 비슷한거 같아요ㅠㅠㅠㅠ 이전에 몇번 시킬땐 그런 느낌 많이 못받았는데 다른데 몇번 시키다 생각나서 시켰더니 작아진건지 원래 작았는지ㅠㅠ
991,작년에 한번 시킨적이있어서 시켰는데 배달은 주문후 1시간넘게걸리고 피자는 열었다가 콤비네이션시켰는데 치즈피자로 잘못온줄알고 주문 다시확인했네요. 토핑이많이없네요. 다시는 안시킬것같습니다.
