업체명,카테고리,메뉴,맛,양,배달,리뷰,date
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（小／600g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(비빔열무국수))석쇠불고기（3~4인）（김치찌개＋공기밥3＋밑반찬＋쌈）/1(고기 선택(간장)),5.0,5.0,5.0,석쇠불고기 + 쭈꾸미 배달시켰어요~ 고기 양념도 맛있었지만 같이 온 열무국수랑 김치찌개도 정말 맛있었어요. 잘먹었습니다 ~ 배가넘고파 사진찍는것도 잊었네요. 먹고 남은건 낼 먹으려고 고이 담아뒀습니다. 간이 싱겁기 보단 좀 간간한 편이예요,2018년 5월 6일 일요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（小／600g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(비빔열무국수)),5.0,5.0,5.0,맛 중상 이상입니다. 쭈꾸미가 조금 적지만 맛 좋아요..,2018년 4월 7일 토요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（小／600g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(비빔열무국수)),4.0,4.0,4.0,맛있어요.무쌈이 없어서 살짝 아쉽네요. 담엔 세트를 먹어야겠어요~^^,2018년 2월 11일 일요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（小／600g）（냉열무국수 or 냉열무우동 or 비빔열무국수＋쌈）/1(고기 선택(고추장)메뉴 선택(냉열무국수)),1.0,4.0,4.0,주문이 잘못 들어갔나 보네요. 쭈꾸미 시켰는데 따로 연락도 없이 오징어가 왔어요. 다시 기다리기 귀찮아 그냥 먹는데 오징어가 쫄깃한 맛이 하나도 없어요 ㅠ,2018년 2월 18일 일요일
전주석쇠불고기-본점,한식,석쇠쭈꾸미불고기（1~2인）（김치찌개＋공기밥1＋밑반찬＋쌈）/1(고기 선택(고추장)),5.0,5.0,5.0,쫌맵긴한데진짜맛있게 먹었습니당ㅎㅎ,2018년 4월 14일 토요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（3~4인）（김치찌개＋공기밥3＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(계란찜 추가)),4.0,4.0,4.0,제가 덜맵게 불맛나게 좀 어렵게 주문했어요 ㅠㅠ 전 덜 맵고 그 왜 숯불같음 불맛나게 매운거 아니고 ㅠㅠ 맛있는데 매운거 못 먹는 바보라 ㅠㅠ 그래도 깔끔하고 맛 있어요 전화문의 했는데 너무 친절하세요 자주는 아니지만 언니집 오면 가끔 시켜 먹어요 ㅎㅎ,2018년 5월 22일 화요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(파절이 추가)),5.0,5.0,5.0,상추도 푸짐하구 정말 맛잇음,2018년 2월 13일 화요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(참치주먹밥 추가)),4.0,5.0,4.0,양도많고 맛있어요!! 둘이먹었는데 배불러서 쫌남겼어요ㅜㅠㅜㅜㅜㅜ다음에도 또 시켜먹을께용!!,2018년 3월 24일 토요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(공기밥 추가)),5.0,5.0,5.0,오오오오오ㅗ 여기 ㄱㅊ음,2018년 4월 9일 월요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(계란찜 추가)),4.0,4.0,5.0,쌈도 많이주고 고기 맛나요,2018년 2월 13일 화요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(갈비만두 추가)),5.0,5.0,5.0,핵마싯 삼겹은 첨시켜보고잇는디 기대돼요 불고기에 오징어는 좀더넣어주세요 데헷,2018년 3월 15일 목요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)추가 선택(갈비만두 추가)),5.0,5.0,5.0,개마싯 트리이사와서 여러군데시켜봣지만 여기가 젤맛나요 자주이용할거같아요 번창하세용,2018년 3월 15일 목요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장))소주/1,5.0,5.0,5.0,역시나 리뷰처럼 정말맛있어요^^ 밥하기귀찮을때 종종 이용해야겠어요!!!,2018년 2월 15일 목요일
전주석쇠불고기-본점,한식,석쇠오징어불고기（2~3인）（김치찌개＋공기밥2＋밑반찬＋쌈）/1(고기 선택(고추장)),4.0,4.0,4.0,오징어볶음찾아다니다가 발견한 석쇠오징어불고기 오징어는 별루 없고 불고기가 많아서 배달 잘못온줄 그래두 맛이 있어서 배부르게 잘먹었어요,2018년 4월 29일 일요일
